r v real_class
0.669 0.716 IN
1.589 0.309 ITL
1.138 0.628 IN
2.82 1.085 ITL
2.927 2.267 ITL
2.187 1.301 ITL
1.102 2.888 ITL
2.038 0.146 IN
1.325 0.635 IN
2.021 1.09 ITL
1.568 0.08 IN
2.486 0.7 ITL
1.143 1.035 IN
2.674 0.355 IN
0.943 0.241 BS
0.58 1.319 RIN
0.366 0.602 CL
0.605 0.554 ITL
1.045 0.167 IN
0.518 1.133 RIN
1.047 0.112 IN
1.982 0.729 IN
0.498 0.508 IN
2.462 0.365 IN
1.259 0.133 BS
1.695 2.85 ITL
1.517 0.3 BS
0.629 1.334 CL
0.349 0.573 CL
1.403 2.243 ITL
2.437 0.78 IN
1.919 1.893 ITL
2.754 0.812 ITL
2.74 2.811 ITL
0.76 0.498 IN
0.538 1.149 ITL
0.787 0.074 BS
1.714 0.368 IN
2.226 1.049 ITL
1.28 0.02 BS
2.633 0.673 IN
2.45 0.716 ITL
1.302 1.818 ITL
0.612 1.377 BS
1.019 0.085 IN
2.778 1.662 ITL
2.113 0.097 IN
0.425 0.541 ITL
1.263 0.359 BS
1.843 2.867 ITL
2.1 2.813 ITL
0.876 0.462 CL
1.41 0.137 IN
1.793 0.69 ITL
2.813 0.655 ITL
0.827 0.61 CL
1.986 1.203 ITL
2.02 0.611 ITL
0.614 0.179 RIN
1.262 1.352 BS
2.566 0.048 ITL
0.53 0.203 RIN
0.504 0.175 RIN
2.606 1.273 ITL
0.573 0.188 RIN
2.942 2.816 ITL
1.693 2.019 ITL
2.333 0.158 ITL
1.822 0.432 IN
0.891 0.377 CL
0.626 0.313 ITL
0.196 2.062 RIN
1.301 0.774 BS
1.039 1.229 IN
0.968 1.414 ITL
1.115 0.835 IN
1.073 0.031 BS
2.023 0.549 ITL
2.398 0.449 IN
1.123 0.77 ITL
2.76 2.993 ITL
0.973 1.163 IN
0.691 1.864 BS
0.702 0.849 BS
1.157 0.345 BS
2.809 0.237 IN
2.433 1.42 ITL
1.543 0.129 IN
1.077 0.947 ITL
1.284 0.328 IN
1.186 1.002 IN
2.744 0.097 IN
2.113 1.028 ITL
0.689 0.43 IN
1.373 0.291 IN
0.476 1.395 RIN
1.882 0.114 ITL
1.246 0.598 BS
2.682 1.292 ITL
0.896 1.102 IN
0.756 0.194 CL
0.841 0.408 ITL
