r v real_class
1.764 0.052 BS
1.346 0.781 IN
1.211 0.08 BS
2.712 0.747 ITL
2.292 0.247 IN
0.851 0.896 RIN
1.152 0.726 IN
2.709 2.631 ITL
2.029 0.29 ITL
1.403 0.282 ITL
2.514 0.011 IN
2.944 0.053 ITL
1.656 1.228 ITL
1.24 1.077 IN
2.433 1.227 ITL
2.698 1.225 ITL
1.016 0.703 BS
1.124 1.515 ITL
2.278 0.4 IN
2.484 0.554 IN
2.521 0.037 ITL
0.502 2.486 ITL
1.396 0.121 IN
2.509 0.333 ITL
0.727 0.789 RIN
1.376 0.619 BS
0.278 1.263 RIN
1.249 0.838 IN
0.852 1.056 IN
2.373 0.249 IN
0.462 1.418 RIN
2.916 0.139 IN
1.518 0.312 IN
0.86 2.492 ITL
2.099 1.836 ITL
1.4 0.307 IN
1.022 0.627 ITL
1.724 2.714 ITL
1.26 0.598 ITL
0.182 1.357 CL
2.964 0.656 IN
2.648 0.785 ITL
2.26 0.083 IN
0.583 0.247 CL
2.875 0.006 ITL
1.26 0.247 BS
0.982 0.456 IN
1.569 0.258 BS
2.115 0.589 ITL
0.361 0.25 CL
2.655 0.318 ITL
0.903 0.385 IN
2.422 2.697 ITL
1.939 0.984 ITL
0.29 1.848 RIN
1.273 0.115 IN
2.321 0.224 IN
2.878 0.992 ITL
1.783 0.879 BS
2.627 0.005 IN
1.2 2.095 ITL
0.387 1.363 CL
0.61 2.135 RIN
2.809 0.645 ITL
2.802 1.446 ITL
2.637 0.024 BS
1.537 0.906 IN
1.132 0.419 BS
0.691 0.827 BS
0.562 1.113 CL
0.356 1.694 CL
1.631 0.235 ITL
0.11 0.717 RIN
0.774 0.519 CL
2.323 2.432 ITL
1.179 0.538 BS
1.469 0.027 IN
0.321 0.9 CL
0.733 0.626 ITL
2.955 1.787 ITL
1.229 0.348 BS
2.934 0.298 IN
1.402 0.277 IN
0.759 2.204 ITL
1.318 0.341 IN
2.163 0.426 IN
0.892 1.73 CL
1.648 0.329 IN
1.952 0.344 ITL
1.6 0.15 BS
0.217 1.816 RIN
1.623 0.319 BS
0.217 2.352 RIN
0.602 0.913 CL
2.276 0.32 IN
0 0 CL
0.216 2.036 RIN
2.829 2.91 ITL
2.46 0.493 IN
2.488 0.555 IN
0.342 0.364 CL
2.751 0.544 IN
0.568 1.937 RIN
1.338 0.035 IN
2.701 1.598 ITL
0.845 0.923 RIN
1.468 0.28 IN
0.36 0.469 RIN
1.457 0.563 BS
0.519 1.349 RIN
1.229 0.299 BS
1.859 1.004 ITL
2.14 0.147 ITL
2.655 1.643 ITL
1.863 0.195 IN
0.848 1.225 BS
0.488 2.655 ITL
1.141 0.44 IN
1.238 0.887 BS
1.056 2.182 ITL
1.184 0.042 ITL
1.282 0.081 ITL
2.416 0.431 IN
1.279 1.435 IN
0.317 0.001 BS
0.56 1.026 BS
0.684 0.601 CL
1.687 0.364 IN
1.258 0.332 ITL
2.869 0.085 BS
1.076 1.136 ITL
2.55 0.497 IN
2.956 2.141 ITL
1.523 0.838 BS
2.834 0.18 ITL
0.904 0.314 ITL
0.293 0.4 IN
1.537 0.664 IN
1.251 0.225 BS
0.766 1.909 ITL
0.859 0.522 RIN
1.352 0.597 IN
1.466 0.302 BS
2.296 0.247 IN
0.703 0.871 RIN
1.321 0.804 IN
0.518 0.151 RIN
1.183 0.33 BS
0.383 1.93 RIN
1.503 0.422 IN
0.821 0.489 RIN
0.021 1.908 CL
2.936 0.31 IN
1.125 0.29 ITL
1.744 1.08 IN
0.745 0.253 BS
1.67 2.785 ITL
0.613 0.012 IN
0.208 1.716 RIN
1.617 0.387 BS
2.293 0.361 IN
0.475 0.632 ITL
1.458 1.757 ITL
0.724 0.976 IN
1.992 0.357 IN
0.709 1.616 RIN
2.986 0.257 IN
0.139 1.788 CL
0.758 1.168 RIN
0.566 0.952 CL
1.134 0.69 IN
1.708 0.211 ITL
1.413 0.068 ITL
0.124 0.448 RIN
0.372 1.404 IN
2.865 0.617 ITL
2.358 0.353 IN
1.173 0.766 BS
1.383 1.485 ITL
1.498 0.833 BS
2.669 0.744 IN
1.215 0.478 IN
0.232 0.341 CL
0.956 0.314 ITL
0.489 2.999 ITL
1.746 0.325 IN
1.154 0.08 BS
2.653 0.676 IN
0.595 1.684 RIN
2.628 0.126 IN
1.03 1.001 ITL
0.057 0.836 RIN
2.609 0.103 IN
3 0.586 ITL
0.37 0.709 CL
1.423 0.68 BS
0.377 0.756 CL
1.691 0.315 BS
2.501 0.334 ITL
0.634 0.639 CL
1.983 0.769 ITL
1.343 0.845 ITL
1.107 0.064 IN
2.471 0.329 ITL
1.643 0.273 IN
1.697 0.643 IN
1.855 0.338 IN
2.486 0.355 IN
1.462 0.178 BS
0.158 0.904 CL
0.576 0.63 CL
2.747 0.392 IN
0.425 1.059 RIN
0.607 0.419 CL
2.132 2.16 ITL
1.559 0.202 BS
1.059 0.479 BS
0.143 1.181 CL
2.605 1.129 ITL
2.762 0.039 IN
0.704 0.403 RIN
2.839 0.071 IN
1.282 2.589 ITL
2.061 0.36 IN
1.579 0.517 BS
0.857 0.441 BS
1.239 0.848 BS
2.544 0.028 IN
2.497 2.742 ITL
2.377 1.218 ITL
2.538 1.871 ITL
1.807 0.1 BS
1.089 2.534 ITL
2.959 0.059 ITL
1.456 2.924 ITL
2.708 1.309 ITL
0.413 1.372 CL
1.588 2.32 ITL
0.462 0.663 RIN
2.82 0.554 IN
0.361 0.767 RIN
2.186 2.761 ITL
0.62 0.098 RIN
0.813 0.752 BS
0.572 0.028 CL
1.169 0.134 BS
2.454 0.135 IN
1.63 0.743 IN
1.913 0.16 IN
0.744 0.285 IN
2.221 0.578 IN
0.686 1.147 BS
1.297 0.417 BS
0.766 0.139 ITL
1.581 1.141 ITL
2.4 0.755 ITL
1.511 0.121 IN
0.655 1.081 CL
1.159 1.087 BS
0.58 0.414 RIN
1.408 0.062 IN
1.243 0.766 ITL
2.061 1.31 ITL
1.254 0.684 IN
1.293 0.077 BS
0.502 1.225 RIN
1.55 0.584 BS
1.859 0.659 BS
0.538 0.709 RIN
0.882 2.051 ITL
0.78 0.131 CL
0.735 0.609 RIN
2.038 2.11 ITL
2.769 0.188 IN
2.903 0.111 IN
0.7 0.516 IN
0.691 0.251 CL
2.951 0.027 ITL
0.655 1.616 RIN
0.641 1.204 RIN
1.216 0.261 IN
1.738 0.649 BS
1.094 2.591 ITL
1.372 0.42 BS
2.559 0.384 IN
2.067 0.339 BS
0.354 2.213 RIN
2.16 0.443 ITL
1.04 0.489 ITL
2.508 0.176 ITL
2.648 2.76 ITL
2.764 0.079 ITL
2.376 0.607 ITL
1.283 1.505 ITL
0.42 0.164 CL
1.725 0.086 BS
0.764 0.245 BS
0.745 0.839 CL
0.788 0.25 CL
1.481 1.989 ITL
0.732 1.682 BS
1.545 0.202 BS
0.07 0.712 BS
0.679 1.231 CL
0.632 0.333 IN
0.555 2.717 ITL
2.459 0.728 ITL
1.817 0.071 IN
2.668 0.085 IN
1.448 0.17 BS
1.235 0.023 IN
1.347 0.221 BS
2.994 0.627 ITL
0.289 0.871 CL
2.739 0.784 ITL
0.854 1.763 RIN
1.993 2.18 ITL
1.273 0.787 IN
2.474 1.055 ITL
1.38 0.251 BS
2.476 0.547 IN
2.367 2.271 ITL
0.585 0.818 ITL
1.306 0.407 BS
2.987 0.052 IN
0.594 1.238 ITL
2.81 1.747 ITL
0.617 0.471 CL
1.85 0.57 ITL
2.965 0.108 IN
1.869 0.094 IN
0.445 1.473 RIN
2.871 0.504 IN
2.718 0.54 ITL
0.197 1.603 CL
1.212 0.167 IN
2.41 0.677 IN
1.289 0.606 IN
0.231 1.22 RIN
1.994 0.821 IN
1.557 0.999 ITL
0.752 0.855 RIN
1.236 0.688 ITL
2.718 0.197 ITL
0.516 0.093 CL
0.446 1.044 RIN
2.245 0.124 ITL
1.354 0.392 BS
1.623 2.83 ITL
2.539 0.371 ITL
1.32 0.101 IN
1.329 0.029 IN
1.473 0.087 IN
1.497 0.813 ITL
1.966 0.268 ITL
0.296 1.841 RIN
1.194 1.39 BS
1.481 1.396 ITL
2.988 1.288 ITL
0.219 1.857 RIN
1.688 0.004 IN
2.744 0.808 IN
1.26 0.286 ITL
2.761 0.63 IN
1.125 0.732 IN
2.869 0.193 ITL
1.963 1.823 ITL
0.913 0.153 BS
2.032 0.641 IN
0.566 0.178 CL
0.921 0.195 CL
0.984 0.114 BS
2.659 0.418 ITL
0.352 0.001 RIN
1.164 0.882 BS
1.347 0.809 IN
2.308 0.269 ITL
1.621 0.017 BS
0.455 1.018 CL
2.866 0.039 IN
1.399 0.007 BS
1.143 0.787 BS
2.145 2.692 ITL
0.46 1.197 BS
2.836 1.87 ITL
0.661 0.647 RIN
1.53 2.583 ITL
0.823 0.59 BS
0.031 1.512 RIN
0.635 0.151 RIN
0.758 0.489 BS
2.151 0.373 IN
0.983 0.861 ITL
1.389 0.467 BS
0.138 0.691 CL
0.856 0.105 BS
2.76 0.569 ITL
2.886 2.904 ITL
0.713 0.082 CL
0.859 0.029 IN
2.955 2.79 ITL
1.607 0.376 BS
1.126 1.088 IN
0.649 0.878 CL
2.409 0.17 IN
0.222 0.416 ITL
0.505 0.054 BS
1.522 1.181 BS
2.655 0.053 ITL
0.754 0.161 CL
2.974 0.106 ITL
2.402 2.355 ITL
0.877 0.672 CL
0.381 0.991 CL
1.096 2.274 ITL
0.815 1.153 RIN
0.393 0.03 CL
2.365 1.399 ITL
1.99 2.011 ITL
2.962 2.376 ITL
0.867 1.183 CL
1.438 0.136 BS
2.778 0.237 ITL
0.123 2.923 RIN
0.834 0.744 RIN
1.642 0.162 BS
1.628 0.253 BS
2.126 0.122 IN
0.927 0.928 BS
1.62 0.4 IN
1.277 0.015 BS
1.591 2.513 ITL
0.511 0.052 RIN
1.336 1.075 IN
0.13 0.868 CL
0.635 0.473 ITL
1.327 1.25 ITL
2.627 2.803 ITL
1.615 0.071 IN
0.503 0.285 BS
0.463 0.031 BS
2.966 0.596 ITL
0.314 1.121 RIN
1.699 1.226 IN
1.785 0.178 ITL
1.083 2.884 ITL
2.405 0.002 IN
0.729 0.63 CL
1.152 0.387 BS
2.992 1.993 ITL
2.302 0.705 ITL
1.587 0.252 BS
1 0.234 CL
1.737 0.385 IN
1.895 0.561 IN
0.936 0.514 BS
2.719 0.287 IN
1.024 0.153 BS
1.82 0.518 IN
2.395 0.232 ITL
2.43 0.031 ITL
2.965 0.056 IN
2.013 0.229 BS
1.781 0.187 BS
1.878 1.79 ITL
1.407 0.035 BS
0.861 0.456 CL
2.417 1.84 ITL
1.222 1.471 ITL
1.74 0.252 IN
1.695 0.791 IN
0.536 1.004 BS
1.381 0.973 ITL
2.065 0.338 ITL
0.809 0.489 BS
2.074 0.382 IN
2.701 0.762 ITL
1.156 0.206 BS
1.084 0.23 BS
0.758 0.146 CL
0.917 0.904 IN
